Year,Questions,Marks,Topic,Subtopic,Mark Scheme,Mark scheme K,Mark scheme Ap,Mark scheme An,Page,Check,
Jan 2021,define the term brand,2,marketing mix and strategy,mass niche characteristics market size share brand dynamic online retailing change innovation growth adapting competition difference risk uncertainty research product orientation primary secondary data quantitative qualitative anticipate customer needs wants likely demand gain insight consumer behaviour limitations sample bias websites social networking database segmentation positioning mapping competitive advantage service purpose differentiation adding value product service,A name logo or symbol (1) that distinguishes a product or service from competitors (1) (2),A name logo or symbol (1) that distinguishes a product or service from competitors (1) (2),,,2,TRUE,11
Jan 2021,explain one risk jack ma may have taken when setting up the alibaba group,4,entreprenuers and leaders,role entrepreneur create set up business run expand develop innovation (barrier entrepreneurship anticipate risk uncertainty environment entrepreneurial motives characteristic skill required reason why people set businesses financial profit maximisation satisfice non ethical stance social independence home working objective survival employee welfare customer satisfaction forms sole trader partnership private limited company franchise enterprise lifestyle online growth plc stock flotation choices opportunity potential trade off moving from leader the difficulties,Financial risk (1) Application Up to 2 marks for answers contextualised to Jack Ma eg  Jack worked as a teacher prior to creating Alibaba Group and so gave up wages from his regular job (1) Jack invested in business and is likely to have used his savings or taken out a loan (1) Analysis 1 mark for reasoncauseconsequence for Jack Ma  It may have led to Jack losing his possessionsassets if business had failed (1) (4),Financial risk,Jack worked as a teacher prior to creating Alibaba Group and so gave up wages from his regular job. Jack invested in business and is likely to have used his savings or taken out a loan,Analysis 1 mark for reasoncauseconsequence for Jack Ma  It may have led to Jack losing his possessionsassets if business had failed,2,TRUE,11
Jan 2021,analyse two factors that may have increased demand for the alibaba group,6,market,demand factors change prices substitute and complementary goods consumer income fashions taste preference advertising branding demographics external shock seasonality supply cost production introduction new technology indirect tax government subsidies market interaction draw diagram show cause consequence price elasticity calculation numerical value influence significance businesses implication for pricing relationship total revenue income,1(c) Knowledge 2 Application 2 Analysis 2 Knowledge Up to 2 marks for defining demand eg Quantity of goods or services (1) desired at a given price and a given time (1)  OR  For giving two possible causes of increased demand for Alibaba Group eg Changes in trends and fashions (1) price of substitutes (1) Application Up to 2 marks for answers contextualised to Alibaba Group eg Due to changes in technology more people are buying goods and services online (1) It has differentiated itself from competitors such as eBay that charge a fee for selling onir websites (1)  Analysis Up to 2 marks for reasonscausesconsequences for Alibaba Group eg This may lead to increased sales for Alibaba Group as customers are looking for a more convenient way to shop (1) This may lead to attracting new sellers to website and availability of a wide range of goods to attract more consumers (1) (6),,,,3,TRUE,11
Jan 2021,discuss if profit maximisation is the main business objective of the alibaba group,8,entreprenuers and leaders,role entrepreneur create set up business run expand develop innovation (barrier entrepreneurship anticipate risk uncertainty environment entrepreneurial motives characteristic skill required reason why people set businesses financial profit maximisation satisfice non ethical stance social independence home working objective survival employee welfare customer satisfaction forms sole trader partnership private limited company franchise enterprise lifestyle online growth plc stock flotation choices opportunity potential trade off moving from leader the difficulties,1(d) guidance Answers must be credited by using level descriptors (below) in line with general marking guidance The indicative below exemplifies some of points that candidates may make but this does not imply that any ofse must be included Other relevant points must also be credited Knowledge Application Analysis Evaluation Œ indicative  Profit = Total Revenue (TR) Œ Total Costs (TC) Therefore profit maximisation occurs at biggest gap between total revenue and total costs Profit maximisation is assumed to be main business objective of most entrepreneurs Jack Ma is now a billionaire which may support profit being primary motivation and objective of business Alibaba Group keeps operational costs low by trading on internet which helps to minimise total costs and increase profitability Alibaba Group has expanded business (Tmall) rapidly indicating that maximising profits may be main objective for business Profit is important in order to fundsupport its ethical and social initiatives However Alibaba Group appears to have several social objectives Its ‚Tech For Change Initiative aims to support female education through free online training It donates funding for healthcare for underprivileged This might indicate profit maximisation is not its main objective It does not charge a fee for selling on its C2C website Taobao which may indicate that profit maximisation is not primary objective of business,,,,4,TRUE,11
Jan 2021,assess the advantages of a paternalistic style of leadership for a business such as the alibaba group,10,managing people,importance employee motivation taylor scientific management mayo human relation theory maslow hierarchy needs herzberg two factor financial incentives improve performance piecework commission bonus profit share related pay non techniques improve delegation consultation empowerment team working flexible job enrichment rotation enlargement leadership style autocratic paternalistic democratic laissez faire,1(e) guidance Answers must be credited by using level descriptors (below) in line with general marking guidance The indicative below exemplifies some of points that candidates may make but this does not imply that any ofse must be included Other relevant points must also be credited Knowledge Application Analysis Evaluation Œ indicative  A paternalistic leader makes decisions in a business and decides what is best for employees The leader is seen as a father or mother figure Jack Ma may have developed this style of leadership as a teacher in China This style of leadership may lead to employee loyalty asy feel likey are being listened to andir needs are met reducing absenteeism and staff turnover  Decisions are made with employees best interests taken into consideration which may motivate staff and improve productivity Feedback is invited and encouraged which may improve moraleproductivity and lead to increased sales revenue for Alibaba Group Jack Ma founded Alibaba Group and may be best person to make decisions for this successful business However industry is dynamic and it may be that Jack Ma is not always right person to make final decisions This style of leadership unlike laissezfaire leadership may not encourage others to useir initiative and may stifle creativity which is important in IT industry If final decisions are not made by others in organisation this may be viewed as autocratic leadership by employees leading to demotivation  Many employees are motivated by empowerment and responsibility and ify do not havese it may lead tom leaving company to work for competitors,,,,5,TRUE,11
Jan 2021,define the term product innovation ,2,meeting customer needs,mass niche characteristics market size share brand dynamic online retailing change innovation growth adapting competition difference risk uncertainty research product orientation primary secondary data quantitative qualitative anticipate customer needs wants likely demand gain insight consumer behaviour limitations sample bias websites social networking database segmentation positioning mapping competitive advantage service purpose differentiation adding value product service,2(a) Knowledge 2 Up to 2 marks for defining term ‚product innovation eg The developmentcreation of products (1) not previously available (1) (2),,,,7,TRUE,11
Jan 2021,if nintendo reduces its console prices by 8% calculate the estimated percentage change in demand. you are advised to show your working,4,market,demand factors change prices substitute and complementary goods consumer income fashions taste preference advertising branding demographics external shock seasonality supply cost production introduction new technology indirect tax government subsidies market interaction draw diagram show cause consequence price elasticity calculation numerical value influence significance businesses implication for pricing relationship total revenue income,2(b) Knowledge 1 Application 2 Analysis 1 Quantitative skills assessed QS2 calculate use and understand percentages and percentage changes QS7 interpret values of price and income elasticity of demand Knowledge 1 mark for identifying a suitable formula eg PED = change in quantity demanded  change in price (1) Application Up to 2 marks for selecting correct data 15 (1) x 8 (1)  Analysis 1 mark for calculating percentage change in demand 12 (1) NB award marks as below If answer given is 12 award 4 marks If answer given is 12 award 3 marks (4),,,,7,TRUE,11
Jan 2021,analyse two different pricing strategies that nintendo might use to compete in the games console industry,6,marketing mix and strategy,product service design mix function aesthetics cost in elements reflect social trend resource depletion waste minimisation reuse recycle ethical sourcing branding promotion types benefits strong added value ability charge premium price elasticity demand build brand unique selling point usp differentiation advertising sponsorship media viral marketing emotional pricing strategy plus mark up skimming penetration predatory competitive psychological factor determine appropriate particular situation number competition business environment strength stage life cycle cost profit online sale comparison site distribution channel extension boston matrix portfolio consumer behaviour customer loyalty,2(c) Knowledge 2 Application 2 Analysis 2 Knowledge Up to 2 marks for defining pricing strategy eg Methods used by a business (1) to set a price for its products or services (1) OR Showing understanding of two types of pricing strategy eg Competitive pricing setting a price at or near competitors prices (1) Price skimming setting an initial high price before reducing later on (1) Application Up to 2 marks for answers contextualised to Nintendo eg Nintendo may price in line with its rivals such as Sony due to competitive nature of games console industry (1) Nintendo has launched Switch console which is differentiated from other consoles as it can be used as a home console as well as being a handheld device (1) Analysis Up to 2 marks for reasonscausesconsequences for Nintendo eg This may prevent Nintendo losing sales to rivals and prevent its customers switching to substitutes if its price is too high (1) Nintendo may be able to sell at a high price until competitors launch a similar console to rival Switch (1) (6),,,,8,TRUE,11
Jan 2021,discuss how the boston matrix may help companies such as nintendo develop their product portfolio,8,marketing mix and strategy,product service design mix function aesthetics cost in elements reflect social trend resource depletion waste minimisation reuse recycle ethical sourcing branding promotion types benefits strong added value ability charge premium price elasticity demand build brand unique selling point usp differentiation advertising sponsorship media viral marketing emotional pricing strategy plus mark up skimming penetration predatory competitive psychological factor determine appropriate particular situation number competition business environment strength stage life cycle cost profit online sale comparison site distribution channel extension boston matrix portfolio consumer behaviour customer loyalty,2(d) guidance Answers must be credited by using level descriptors (below) in line with general marking guidance The indicative below exemplifies some of points that candidates may make but this does not imply that any ofse must be included Other relevant points must also be credited Knowledge Application Analysis Evaluation Œ indicative  The Boston Matrix is a method of portfolio analysis based on market share and market growth It categorises products into Cash Cows Dogs Stars and Problem Childrens It can be used to analyse current portfolio of products to help with future strategies and growth Cash from mature products can be used to fund new products such as Switch console  As market share may be gained through investment in marketing matrix helps to focus on promotion strategy for new consoles and games to increase sales It will help in decision making regarding consoles that are regarded as Dogs that should be discontinued including Game Boy However it is only a snapshot of current product portfolio It has little or no predictive value and does not take account of external factors such as competitors such as Sony and Microsoft Just because products are categorised as Dogs does not meany must be removed Œ perhapsy still generate acceptable levels of revenue  The Boston Matrix cannot be used in isolation and Nintendo must consider other external and internal factors to help make important decisions on its product portfolio  Product life cycle may be a better method of portfolio analysis as it takes account of life span of products which is an important element in dynamic games console industry,,,,9,TRUE,11
Jan 2021,assess the benefits of a matrix organisational structure for a business such as nintendo,10,managing people,approaches staff asset flexible workforce multi skilling part time and temporary hour home working outsource distinction between dismissal redundancy employer employee relationship individual approach collective bargaining recruitment selection training process internal external cost induction on job off organisational design structure hierarchy chain command span control centralised decentralised tall flat matrix efficiency motivation,2(e) guidance Answers must be credited by using level descriptors (below) in line with general marking guidance The indicative below exemplifies some of points that candidates may make but this does not imply that any ofse must be included Knowledge Application Analysis Evaluation Œ indicative  In a matrix organisational structure employees work within teams or projects as well as withinir own functional area or department A benefit is that it encourages sharing of ideas Designers and marketing staff at Nintendo are able to share experience and good practice This resulted in development of Switch console which has helped Nintendo regain its market share  The matrix organisational structure can break down traditional department barriers and so improve communication across entire organisation It allows Nintendo to be more flexible with its developers who can useir specific skills within a variety of development projects  However members of project teams may have divided loyalties ify report to two or more managers This may lead to stress and overworking of employees  It may be difficult to coordinate if developers are required on a number of projects which may decrease productivity for business Overall whilst sharing of ideas and new technology is key for Nintendo it is important that new structure is managed well to maintain control coordination and employee motivation within business,,,,10,TRUE,11
