Questions,Topic
Define the term market.,meeting customer needs
What is meant by the term market share?,meeting customer needs
What is the aim of marketing?,meeting customer needs
True or False? Wants are considered to be essential.,meeting customer needs
Define the term mass market.,meeting customer needs
Define the term brand.,meeting customer needs
State the formula for calculating market share.,meeting customer needs
Define the term niche market.,meeting customer needs
What is the purpose of branding?,meeting customer needs
True or False? A dynamic market is one that is subject to rapid or continuous changes.,meeting customer needs
What is meant by the term primary research?,meeting customer needs
What is meant by the term market segmentation?,meeting customer needs
Define the term product orientation.,meeting customer needs
What is meant by the term secondary research?,meeting customer needs
True or False? Primary research is cheaper and quicker than secondary research.,meeting customer needs
State how researcher bias can affect survey findings.,meeting customer needs
What is the purpose of market segmentation?,meeting customer needs
True or False? Primary market research may include purchasing market reports from specialist companies or accessing government statistics.,meeting customer needs
Define the term market orientation.,meeting customer needs
What is meant by the term test marketing?,meeting customer needs
True or False? All consumers in a market segment behave in the same way.,meeting customer needs
Define the term market positioning.,meeting customer needs
What is a market map?,meeting customer needs
True or False? A market map can show more than two criteria.,meeting customer needs
What is meant by the term market saturation?,meeting customer needs
Define the term competitive advantage.,meeting customer needs
What is meant by the term product differentiation?,meeting customer needs
Give two examples of sources of competitive advantage.,meeting customer needs
Define the term added value.,meeting customer needs
True or False? Adding value raises costs for a business.,meeting customer needs
What is meant by the term demand?,market
What is a complementary good?,market
Define the term normal good.,market
True or False? There is a correlation between the quantity demanded by customers and the price.,market
What happens to demand for most products when prices increase?,market
What is meant by the term non-price factors affecting demand.,market
What is meant by the term substitute good?,market
What happens to demand for most goods when prices decrease?,market
Define the term inferior good.,market
True or False? An increase in spending on advertising is likely to shift the demand curve to the left.,market
What is meant by the term supply?,market
True or False? There is an no relationship between supply and price.,market
What happens to the supply of most goods when the price increases?,market
What is meant by the term non-price factors affecting supply.,market
True or False? A change in any non-price factor that leads to less supply will shift the supply curve to the left.,market
What is meant by the term indirect tax?,market
What happens to the supply of most goods when prices decrease?,market
Define the term subsidy?,market
True or False? The introduction of automated production processes is likely to shift the supply curve to the left.,market
Define the term external shock.,market
What happens to the equilibrium price if the supply curve shifts to the left?,market
What is a market?,market
Define the term market equilibrium.,market
"True or False? At the equilibrium price , sellers will be satisfied with the quantity of sales.",market
"True or False? At the equilibrium price , buyers are satisfied that the product provides benefits worth paying for.",market
What happens if a product's selling price is set above the market equilibrium?,market
What happens to the equilibrium price if the demand curve shifts to the left?,market
What is the impact of a rise in demand on the market equilibrium?,market
Define the term shortage.,market
What is the impact of an increase in supply on the market equilibrium?,market
Define the term price elasticity of demand.,market
True or False? The PED value is always negative.,market
"If PED > -1 , what type of good is it?",market
What happens to total revenue when the price of a price inelastic good increases?,market
Define the term price elastic demand.,market
